,pickup_location_id,pickup_location,pickup_latitude,pickup_longitude
0,1,"EWR,Newark Airport,EWR",40.69244,-74.18296
1,2,"Queens,Jamaica Bay,Boro Zone",40.685694,-73.826055
2,3,"Bronx,Allerton/Pelham Gardens,Boro Zone",40.857445641721,-73.859269747253
3,4,"Manhattan,Alphabet City,Yellow Zone",40.72599,-73.98057
4,5,"Staten Island,Arden Heights,Boro Zone",40.55414,-74.17391
5,6,"Staten Island,Arrochar/Fort Wadsworth,Boro Zone",40.5984,-74.07258
6,7,"Queens,Astoria,Boro Zone",40.77205,-73.92606
7,8,"Queens,Astoria Park,Boro Zone",40.7763,-73.92361
8,9,"Queens,Auburndale,Boro Zone",40.75861,-73.78574
9,10,"Queens,Baisley Park,Boro Zone",40.677376299015,-73.780914426853
10,11,"Brooklyn,Bath Beach,Boro Zone",40.60463,-74.00462
11,12,"Manhattan,Battery Park,Yellow Zone",40.70444,-74.01425
12,13,"Manhattan,Battery Park City,Yellow Zone",40.71131,-74.0159
13,14,"Brooklyn,Bay Ridge,Boro Zone",40.6339,-74.0149
14,15,"Queens,Bay Terrace/Fort Totten,Boro Zone",54.506131559943,-128.564337303235
15,16,"Queens,Bayside,Boro Zone",40.77731,-73.78068
16,17,"Brooklyn,Bedford,Boro Zone",42.098081010662,-84.308603252176
17,18,"Bronx,Bedford Park,Boro Zone",40.86999,-73.88573
18,19,"Queens,Bellerose,Boro Zone",40.72304,-73.71546
19,20,"Bronx,Belmont,Boro Zone",40.85546,-73.88569
20,21,"Brooklyn,Bensonhurst East,Boro Zone",40.60186,-73.9939
21,22,"Brooklyn,Bensonhurst West,Boro Zone",40.60186,-73.9939
22,23,"Staten Island,Bloomfield/Emerson Hill,Boro Zone",40.60838,-74.11615
23,24,"Manhattan,Bloomingdale,Yellow Zone",40.76187,-73.96637
24,25,"Brooklyn,Boerum Hill,Boro Zone",40.68372,-73.98179
25,26,"Brooklyn,Borough Park,Boro Zone",40.63382,-73.99693
26,27,"Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone",40.5673,-73.88382
27,28,"Queens,Briarwood/Jamaica Hills,Boro Zone",40.702182730561,-73.810894554986
28,29,"Brooklyn,Brighton Beach,Boro Zone",40.57795,-73.9601
29,30,"Queens,Broad Channel,Boro Zone",40.60315,-73.8214
30,31,"Bronx,Bronx Park,Boro Zone",40.8542,-73.87146
31,32,"Bronx,Bronxdale,Boro Zone",40.85008,-73.86683
32,33,"Brooklyn,Brooklyn Heights,Boro Zone",40.69535,-73.99405
33,34,"Brooklyn,Brooklyn Navy Yard,Boro Zone",40.22588,-90.76319
34,35,"Brooklyn,Brownsville,Boro Zone",40.6629,-73.91729
35,36,"Brooklyn,Bushwick North,Boro Zone",40.6936,-73.91922
36,37,"Brooklyn,Bushwick South,Boro Zone",40.6936,-73.91922
37,38,"Queens,Cambria Heights,Boro Zone",40.69254,-73.73185
38,39,"Brooklyn,Canarsie,Boro Zone",40.64364,-73.90069
39,40,"Brooklyn,Carroll Gardens,Boro Zone",40.6802,-74.00163
40,41,"Manhattan,Central Harlem,Boro Zone",40.80881,-73.94796
41,42,"Manhattan,Central Harlem North,Boro Zone",40.80881,-73.94796
42,43,"Manhattan,Central Park,Yellow Zone",40.78392,-73.96584
43,44,"Staten Island,Charleston/Tottenville,Boro Zone",40.51128,-74.25057
44,45,"Manhattan,Chinatown,Yellow Zone",40.71646,-73.99676
45,46,"Bronx,City Island,Boro Zone",40.84702,-73.78758
46,47,"Bronx,Claremont/Bathgate,Boro Zone",40.84699,-73.89793
47,48,"Manhattan,Clinton East,Yellow Zone",40.76449,-73.9882
48,49,"Brooklyn,Clinton Hill,Boro Zone",40.68682,-73.9647
49,50,"Manhattan,Clinton West,Yellow Zone",40.76449,-73.9882
50,51,"Bronx,Co-Op City,Boro Zone",44.66449,7.9955
51,52,"Brooklyn,Cobble Hill,Boro Zone",40.68978,-73.99817
52,53,"Queens,College Point,Boro Zone",40.7841,-73.84581
53,54,"Brooklyn,Columbia Street,Boro Zone",40.684446717712,-74.002963871067
54,55,"Brooklyn,Coney Island,Boro Zone",40.5755,-73.97845
55,56,"Queens,Corona,Boro Zone",40.74637,-73.85483
56,57,"Queens,Corona,Boro Zone",40.74637,-73.85483
57,58,"Bronx,Country Club,Boro Zone",40.84623,-73.82071
58,59,"Bronx,Crotona Park,Boro Zone",40.83359,-73.88837
59,60,"Bronx,Crotona Park East,Boro Zone",40.838140007499,-73.887290039047
60,61,"Brooklyn,Crown Heights North,Boro Zone",40.66878,-73.95576
61,62,"Brooklyn,Crown Heights South,Boro Zone",40.66878,-73.95576
62,63,"Brooklyn,Cypress Hills,Boro Zone",40.67794,-73.89163
63,64,"Queens,Douglaston,Boro Zone",40.76863,-73.74734
64,65,"Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone",40.689927137572,-73.979950215956
65,66,"Brooklyn,DUMBO/Vinegar Hill,Boro Zone",40.70198,-73.98282
66,67,"Brooklyn,Dyker Heights,Boro Zone",40.62133,-74.00995
67,68,"Manhattan,East Chelsea,Yellow Zone",40.7461,-74.00045
